id,name,category,primary_muscles,difficulty,image_url
Ankle_On_The_Knee,Estiramiento de Glúteo (Tobillo sobre Rodilla),,Glúteos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ankle_On_The_Knee/0.jpg
Anterior_Tibialis-SMR,Masaje de Tibial Anterior con Rodillo,Otros,Gemelos,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Anterior_Tibialis-SMR/0.jpg
Anti-Gravity_Press,Press Antigravedad con Barra,Barra,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Anti-Gravity_Press/0.jpg
Arm_Circles,Rotaciones de Brazos,,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Arm_Circles/0.jpg
Arnold_Dumbbell_Press,Press Arnold con Mancuerna,Mancuerna,Hombros,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Arnold_Dumbbell_Press/0.jpg
Around_The_Worlds,Alrededor del Mundo con Mancuernas,Mancuerna,Pecho,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Around_The_Worlds/0.jpg
Atlas_Stone_Trainer,Entrenamiento con Piedras Atlas,Otros,Espalda Baja,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Atlas_Stone_Trainer/0.jpg
Atlas_Stones,Piedras Atlas,Otros,Espalda Baja,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Atlas_Stones/0.jpg
Axle_Deadlift,Peso Muerto con Barra Axle,Otros,Espalda Baja,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Axle_Deadlift/0.jpg
Back_Flyes_-_With_Bands,Vuelos Posteriores con Banda,Banda,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Back_Flyes_-_With_Bands/0.jpg
Backward_Drag,Arrastre hacia Atrás,Otros,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Backward_Drag/0.jpg
Backward_Medicine_Ball_Throw,Lanzamiento de Balón Medicinal hacia Atrás,Balón Medicinal,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Backward_Medicine_Ball_Throw/0.jpg
Balance_Board,Tabla de Equilibrio,Otros,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Balance_Board/0.jpg
Ball_Leg_Curl,Curl de Femorales sobre Fitball,Fitball,Femorales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ball_Leg_Curl/0.jpg
Band_Assisted_Pull-Up,Dominadas Asistidas con Banda,Otros,Dorsales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Assisted_Pull-Up/0.jpg
Band_Good_Morning,Buenos Días con Banda,Banda,Femorales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Good_Morning/0.jpg
Band_Good_Morning_Pull_Through,Buenos Días con Banda (Pull Through),Banda,Femorales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Good_Morning_Pull_Through/0.jpg
Band_Hip_Adductions,Aducción de Cadera con Banda,Banda,Aductores,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Hip_Adductions/0.jpg
Band_Pull_Apart,Band Pull Apart (Aperturas con Banda),Banda,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Pull_Apart/0.jpg
Band_Skull_Crusher,Press Francés con Banda,Banda,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Skull_Crusher/0.jpg
Barbell_Ab_Rollout,Abdominales con Barra,Barra,Abdominales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Ab_Rollout/0.jpg
Barbell_Ab_Rollout_-_On_Knees,Rueda Abdominal con Barra (de rodillas),Barra,Abdominales,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Ab_Rollout_-_On_Knees/0.jpg
Barbell_Bench_Press_-_Medium_Grip,Press de Banca Plano con Barra,Barra,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Bench_Press_-_Medium_Grip/0.jpg
Barbell_Curl,Curl de Bíceps con Barra,Barra,Bíceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Curl/0.jpg
Barbell_Curls_Lying_Against_An_Incline,Curl Spider con Barra,Barra,Bíceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Curls_Lying_Against_An_Incline/0.jpg
Barbell_Deadlift,Peso Muerto con Barra,Barra,Espalda Baja,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Deadlift/0.jpg
Barbell_Full_Squat,Sentadilla Profunda con Barra,Barra,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Full_Squat/0.jpg
Barbell_Glute_Bridge,Puente de Glúteos con Barra,Barra,Glúteos,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Glute_Bridge/0.jpg
Barbell_Guillotine_Bench_Press,Press Guillotina con Barra,Barra,Pecho,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Guillotine_Bench_Press/0.jpg
Barbell_Hack_Squat,Sentadilla Hack con Barra,Barra,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Hack_Squat/0.jpg
Barbell_Hip_Thrust,Hip Thrust con Barra,Barra,Glúteos,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Hip_Thrust/0.jpg
Barbell_Incline_Bench_Press_-_Medium_Grip,Press Inclinado con Barra,Barra,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Incline_Bench_Press_-_Medium_Grip/0.jpg
Barbell_Incline_Shoulder_Raise,Elevación Inclinada de Hombros con Barra,Barra,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Incline_Shoulder_Raise/0.jpg
Barbell_Lunge,Zancadas con Barra,Barra,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Lunge/0.jpg
Barbell_Rear_Delt_Row,Remo Posterior con Barra,Barra,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Rear_Delt_Row/0.jpg
Barbell_Rollout_from_Bench,Abdominales con Barra desde Banco,Barra,Abdominales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Rollout_from_Bench/0.jpg
Barbell_Seated_Calf_Raise,Elevación de Gemelos Sentado con Barra,Barra,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Seated_Calf_Raise/0.jpg
Barbell_Shoulder_Press,Press Militar con Barra,Barra,Hombros,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Shoulder_Press/0.jpg
Barbell_Shrug,Encojamientos con Barra,Barra,Trapecio,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Shrug/0.jpg
Barbell_Shrug_Behind_The_Back,Encojamientos Traseros con Barra,Barra,Trapecio,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Shrug_Behind_The_Back/0.jpg
Barbell_Side_Bend,Flexión Lateral con Barra,Barra,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Side_Bend/0.jpg
Barbell_Side_Split_Squat,Sentadilla Split Lateral con Barra,Barra,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Side_Split_Squat/0.jpg
Barbell_Squat,Sentadilla Trasera con Barra,Barra,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Squat/0.jpg
Barbell_Squat_To_A_Bench,Sentadilla al Cajón con Barra,Barra,Cuádriceps,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Squat_To_A_Bench/0.jpg
Barbell_Step_Ups,Subidas al Banco con Barra,Barra,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Step_Ups/0.jpg
Barbell_Walking_Lunge,Zancadas Caminando con Barra,Barra,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Walking_Lunge/0.jpg
Battling_Ropes,Batallas de Cuerdas (Battle Ropes),Otros,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Battling_Ropes/0.jpg
Bear_Crawl_Sled_Drags,Arrastre de Trineo en Paso de Oso,Otros,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bear_Crawl_Sled_Drags/0.jpg
Behind_Head_Chest_Stretch,Estiramiento de Pecho Detrás de la Cabeza,Otros,Pecho,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Behind_Head_Chest_Stretch/0.jpg
Bench_Dips,Fondos en Banco (Dips),Peso Corporal,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Dips/0.jpg
Bench_Jump,Saltos al Banco,Peso Corporal,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Jump/0.jpg
Bench_Press_-_Powerlifting,Press de Banca Powerlifting,Barra,Tríceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Press_-_Powerlifting/0.jpg
Bench_Press_-_With_Bands,Press de Banca con Bandas,Banda,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Press_-_With_Bands/0.jpg
Bench_Press_with_Chains,Press de Banca con Cadenas,Barra,Tríceps,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Press_with_Chains/0.jpg
Bench_Sprint,Sprints en Banco,Otros,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bench_Sprint/0.jpg
Bent-Arm_Barbell_Pullover,Pullover con Barra (Codos Flexionados),Barra,Dorsales,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent-Arm_Barbell_Pullover/0.jpg
Bent-Arm_Dumbbell_Pullover,Pullover con Mancuerna (Codos Flexionados),Mancuerna,Pecho,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent-Arm_Dumbbell_Pullover/0.jpg
Bent-Knee_Hip_Raise,Elevación de Cadera con Rodillas Flexionadas,Peso Corporal,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent-Knee_Hip_Raise/0.jpg
Bent_Over_Barbell_Row,Remo con Barra Inclinado,Barra,Espalda Media,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Barbell_Row/0.jpg
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,Vuelos Posteriores en Banco Inclinado,Mancuerna,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench/0.jpg
Bent_Over_Low-Pulley_Side_Lateral,Vuelos Posteriores en Polea Inclinado,Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Low-Pulley_Side_Lateral/0.jpg
Bent_Over_One-Arm_Long_Bar_Row,Remo a un Brazo con Barra Landmine,Barra,Espalda Media,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_One-Arm_Long_Bar_Row/0.jpg
Bent_Over_Two-Arm_Long_Bar_Row,Remo T con Barra Landmine,Barra,Espalda Media,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Two-Arm_Long_Bar_Row/0.jpg
Bent_Over_Two-Dumbbell_Row,Remo Inclinado con Mancuernas,Mancuerna,Espalda Media,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Two-Dumbbell_Row/0.jpg
Bent_Over_Two-Dumbbell_Row_With_Palms_In,Remo Inclinado Neutro con Mancuernas,Mancuerna,Espalda Media,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Two-Dumbbell_Row_With_Palms_In/0.jpg
Bent_Press,Bent Press con Kettlebell,Kettlebell,Abdominales,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Press/0.jpg
Bicycling,Pedaleo en Bicicleta,Otros,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bicycling/0.jpg
Bicycling_Stationary,Bicicleta Fija,Máquina,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bicycling_Stationary/0.jpg
Board_Press,Press de Banca con Tablas (Board Press),Barra,Tríceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Board_Press/0.jpg
Body-Up,Extensiones de Tríceps desde Plancha (Body-Up),Peso Corporal,Tríceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Body-Up/0.jpg
Body_Tricep_Press,Extensiones de Tríceps en Barra Baja,Peso Corporal,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Body_Tricep_Press/0.jpg
Bodyweight_Flyes,Aperturas de Pecho con Peso Corporal,Barra W,Pecho,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Flyes/0.jpg
Bodyweight_Mid_Row,Remo Invertido (Australian Pull-ups),Otros,Espalda Media,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Mid_Row/0.jpg
Bodyweight_Squat,Sentadilla Libre,Peso Corporal,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg
Bodyweight_Walking_Lunge,Zancadas Caminando con Peso Corporal,,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Walking_Lunge/0.jpg
Bosu_Ball_Cable_Crunch_With_Side_Bends,Crunch Lateral en Polea sobre Bosu,Polea,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bosu_Ball_Cable_Crunch_With_Side_Bends/0.jpg
Bottoms-Up_Clean_From_The_Hang_Position,Cargada Invertida con Kettlebell (Bottoms-Up),Kettlebell,Antebrazos,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bottoms-Up_Clean_From_The_Hang_Position/0.jpg
Bottoms_Up,Elevaciones Invertidas de Cadera (Bottoms Up),Peso Corporal,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bottoms_Up/0.jpg
Box_Jump_Multiple_Response,Saltos Continuos al Cajón,Otros,Femorales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Jump_Multiple_Response/0.jpg
Box_Skip,Saltos de Caja Alternos,Otros,Femorales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Skip/0.jpg
Box_Squat,Sentadilla al Cajón (Box Squat),Barra,Cuádriceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Squat/0.jpg
Box_Squat_with_Bands,Sentadilla al Cajón con Bandas,Barra,Cuádriceps,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Squat_with_Bands/0.jpg
Box_Squat_with_Chains,Sentadilla al Cajón con Cadenas,Barra,Cuádriceps,Avanzado,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Box_Squat_with_Chains/0.jpg
Brachialis-SMR,Masaje del Braquial con Foam Roller,Foam Roller,Bíceps,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Brachialis-SMR/0.jpg
Bradford_Rocky_Presses,Press Bradford (Hombros),Barra,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bradford_Rocky_Presses/0.jpg
Butt-Ups,Elevaciones de Cadera desde Plancha,Peso Corporal,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Butt-Ups/0.jpg
Butt_Lift_Bridge,Puente de Glúteos,Peso Corporal,Glúteos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Butt_Lift_Bridge/0.jpg
Butterfly,Pec Deck (Aperturas en Máquina),Máquina,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Butterfly/0.jpg
Cable_Chest_Press,Press de Pecho en Polea,Polea,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Chest_Press/0.jpg
Cable_Crossover,Cruce de Poleas,Polea,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Crossover/0.jpg
Cable_Crunch,Crunch Abdominal en Polea,Polea,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Crunch/0.jpg
Cable_Deadlifts,Peso Muerto en Polea,Polea,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Deadlifts/0.jpg
Cable_Hammer_Curls_-_Rope_Attachment,Curl Martillo en Polea con Soga,Polea,Bíceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Hammer_Curls_-_Rope_Attachment/0.jpg
Cable_Hip_Adduction,Aducción de Cadera en Polea,Polea,Cuádriceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Hip_Adduction/0.jpg
Cable_Incline_Pushdown,Pullover en Polea Inclinado,Polea,Dorsales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Incline_Pushdown/0.jpg
Cable_Incline_Triceps_Extension,Extensión de Tríceps Inclinado en Polea,Polea,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Incline_Triceps_Extension/0.jpg
Cable_Internal_Rotation,Rotación Interna de Hombro en Polea,Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Internal_Rotation/0.jpg
Cable_Iron_Cross,Cruz de Hierro en Polea,Polea,Pecho,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Iron_Cross/0.jpg
Cable_Judo_Flip,Giros de Judo en Polea,Polea,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Judo_Flip/0.jpg
Cable_Lying_Triceps_Extension,Extensión de Tríceps Acostado en Polea,Polea,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Lying_Triceps_Extension/0.jpg
Cable_One_Arm_Tricep_Extension,Extensión de Tríceps a un Brazo en Polea,Polea,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_One_Arm_Tricep_Extension/0.jpg
Cable_Preacher_Curl,Curl Predicador en Polea,Polea,Bíceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Preacher_Curl/0.jpg
Cable_Rear_Delt_Fly,Aperturas Invertidas en Polea (Hombro Posterior),Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Rear_Delt_Fly/0.jpg
Cable_Reverse_Crunch,Crunch Invertido en Polea,Polea,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Reverse_Crunch/0.jpg
Cable_Rope_Overhead_Triceps_Extension,Extensión de Tríceps sobre la Cabeza con Soga,Polea,Tríceps,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Rope_Overhead_Triceps_Extension/0.jpg
Cable_Rope_Rear-Delt_Rows,Face Pull en Polea con Soga,Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Rope_Rear-Delt_Rows/0.jpg
Cable_Russian_Twists,Giros Rusos en Polea,Polea,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Russian_Twists/0.jpg
Cable_Seated_Crunch,Crunch Sentado en Polea,Polea,Abdominales,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Seated_Crunch/0.jpg
Cable_Seated_Lateral_Raise,Vuelos Laterales Sentado en Polea,Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Seated_Lateral_Raise/0.jpg
Cable_Shoulder_Press,Press de Hombros en Polea,Polea,Hombros,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Shoulder_Press/0.jpg
Cable_Shrugs,Encojimientos en Polea,Polea,Trapecio,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Shrugs/0.jpg
Cable_Wrist_Curl,Curl de Muñeca en Polea,Polea,Antebrazos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Cable_Wrist_Curl/0.jpg
Calf-Machine_Shoulder_Shrug,Encojimientos de Hombro en Máquina de Gemelos,Máquina,Trapecio,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Calf-Machine_Shoulder_Shrug/0.jpg
Calf_Press,Prensa de Gemelos,Máquina,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Calf_Press/0.jpg
Calf_Press_On_The_Leg_Press_Machine,Prensa de Gemelos en Prensa,Máquina,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Calf_Press_On_The_Leg_Press_Machine/0.jpg
Calf_Raise_On_A_Dumbbell,Elevación de Gemelo sobre Mancuerna,Mancuerna,Gemelos,Intermedio,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Calf_Raise_On_A_Dumbbell/0.jpg
Calf_Raises_-_With_Bands,Elevación de Gemelos con Bandas,Banda,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Calf_Raises_-_With_Bands/0.jpg
Calf_Stretch_Elbows_Against_Wall,Estiramiento de Gemelos Apoyado en Pared,,Gemelos,Principiante,https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Calf_Stretch_Elbows_Against_Wall/0.jpg
